Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
2021-01-22T16:58:55.998+0800: 1.113: [GC (Allocation Failure) [PSYoungGen: 9543K->1008K(9728K)] 16164K->7925K(31744K), 0.0014978 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.040+0800: 1.154: [GC (Allocation Failure) [PSYoungGen: 9712K->1024K(9728K)] 16629K->8515K(31744K), 0.0014314 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.077+0800: 1.192: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 17219K->9193K(31744K), 0.0020940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.133+0800: 1.248: [GC (Allocation Failure) [PSYoungGen: 9728K->992K(9728K)] 17897K->10061K(31744K), 0.0016851 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.168+0800: 1.283: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 18765K->10611K(31744K), 0.0020544 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.220+0800: 1.335: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 19315K->11150K(31744K), 0.0018396 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.260+0800: 1.375: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 19854K->11602K(31744K), 0.0016151 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.292+0800: 1.407: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 20306K->11950K(31744K), 0.0016040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.351+0800: 1.465: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 20654K->12276K(31744K), 0.0019330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.387+0800: 1.502: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 20980K->12646K(31744K), 0.0014980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.412+0800: 1.527: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 21350K->12951K(31744K), 0.0015119 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.433+0800: 1.548: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 21655K->13201K(31744K), 0.0017485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.465+0800: 1.580: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 21905K->13846K(31744K), 0.0015632 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.505+0800: 1.620: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 22550K->14254K(31744K), 0.0017232 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.547+0800: 1.661: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 22958K->14722K(31744K), 0.0027143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.574+0800: 1.688: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 23426K->15108K(31744K), 0.0018978 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.601+0800: 1.715: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 23812K->15396K(31744K), 0.0017480 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.900+0800: 2.015: [GC (Allocation Failure) [PSYoungGen: 9687K->992K(9728K)] 24091K->15998K(31744K), 0.0020707 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:56.968+0800: 2.083: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 24702K->20161K(31744K), 0.0029954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
